season,team,clutch offensive rating,clutch defensive rating,avg 4th quarter point differential
2000-01,Atlanta Hawks,87.0,104.5,-0.9
2000-01,Boston Celtics,95.1,96.9,-0.8
2000-01,Charlotte Hornets,91.6,96.4,-0.2
2000-01,Chicago Bulls,93.5,107.4,-2.8
2000-01,Cleveland Cavaliers,91.3,86.8,1.0
2000-01,Dallas Mavericks,103.3,104.0,1.0
2000-01,Denver Nuggets,100.5,95.5,0.1
2000-01,Detroit Pistons,91.8,101.5,-0.7
2000-01,Golden State Warriors,84.6,107.8,-1.1
2000-01,Houston Rockets,104.5,88.1,1.4
2000-01,Indiana Pacers,93.1,92.3,0.0
2000-01,Los Angeles Clippers,95.7,108.7,0.4
2000-01,Los Angeles Lakers,103.2,99.2,-1.0
2000-01,Miami Heat,99.1,92.1,-0.3
2000-01,Milwaukee Bucks,112.2,103.8,0.2
2000-01,Minnesota Timberwolves,102.8,106.9,-0.5
2000-01,New Jersey Nets,93.1,105.7,-1.8
2000-01,New York Knicks,82.7,81.0,1.3
2000-01,Orlando Magic,93.5,104.3,-0.6
2000-01,Philadelphia 76ers,101.9,94.6,0.4
2000-01,Phoenix Suns,97.7,87.1,1.7
2000-01,Portland Trail Blazers,109.3,99.6,0.3
2000-01,Sacramento Kings,94.0,84.6,1.4
2000-01,San Antonio Spurs,97.7,100.4,0.9
2000-01,Seattle SuperSonics,98.3,102.3,-0.4
2000-01,Toronto Raptors,96.8,92.1,0.7
2000-01,Utah Jazz,118.4,96.8,2.5
2000-01,Vancouver Grizzlies,102.1,106.7,-1.3
2000-01,Washington Wizards,101.4,100.0,-1.1
2001-02,Atlanta Hawks,95.5,100.6,-1.2
2001-02,Boston Celtics,107.8,90.2,1.0
2001-02,Charlotte Hornets,101.1,97.9,-0.5
2001-02,Chicago Bulls,99.7,97.6,0.0
2001-02,Cleveland Cavaliers,107.2,99.7,-0.7
2001-02,Dallas Mavericks,115.5,107.2,1.5
2001-02,Denver Nuggets,89.7,95.4,0.1
2001-02,Detroit Pistons,96.6,93.2,1.0
2001-02,Golden State Warriors,85.4,105.3,-0.0
2001-02,Houston Rockets,96.6,106.7,-1.0
2001-02,Indiana Pacers,101.1,103.0,-0.1
2001-02,Los Angeles Clippers,95.3,100.3,-0.5
2001-02,Los Angeles Lakers,104.2,94.6,2.5
2001-02,Memphis Grizzlies,89.1,98.5,-1.2
2001-02,Miami Heat,86.1,92.0,-0.4
2001-02,Milwaukee Bucks,107.5,100.2,0.4
2001-02,Minnesota Timberwolves,94.3,102.6,-0.2
