season,team,4th quarter net rating
2000-01,Atlanta Hawks,-7.4
2000-01,Boston Celtics,-3.9
2000-01,Charlotte Hornets,1.2
2000-01,Chicago Bulls,-14.5
2000-01,Cleveland Cavaliers,2.9
2000-01,Dallas Mavericks,4.6
2000-01,Denver Nuggets,0.3
2000-01,Detroit Pistons,-3.6
2000-01,Golden State Warriors,-7.6
2000-01,Houston Rockets,6.1
2000-01,Indiana Pacers,-0.5
2000-01,Los Angeles Clippers,3.9
2000-01,Los Angeles Lakers,-3.3
2000-01,Miami Heat,1.6
2000-01,Milwaukee Bucks,3.7
2000-01,Minnesota Timberwolves,-2.6
2000-01,New Jersey Nets,-9.4
2000-01,New York Knicks,7.2
2000-01,Orlando Magic,-3.5
2000-01,Philadelphia 76ers,3.3
2000-01,Phoenix Suns,8.2
2000-01,Portland Trail Blazers,1.0
2000-01,Sacramento Kings,6.4
2000-01,San Antonio Spurs,7.4
2000-01,Seattle SuperSonics,-3.2
2000-01,Toronto Raptors,2.9
2000-01,Utah Jazz,11.2
2000-01,Vancouver Grizzlies,-6.4
2000-01,Washington Wizards,-5.4
2001-02,Atlanta Hawks,-4.0
2001-02,Boston Celtics,5.7
2001-02,Charlotte Hornets,-0.9
2001-02,Chicago Bulls,-0.5
2001-02,Cleveland Cavaliers,-3.8
2001-02,Dallas Mavericks,8.2
2001-02,Denver Nuggets,-1.8
2001-02,Detroit Pistons,6.5
2001-02,Golden State Warriors,-3.8
2001-02,Houston Rockets,-7.2
2001-02,Indiana Pacers,0.0
2001-02,Los Angeles Clippers,-2.6
2001-02,Los Angeles Lakers,12.5
2001-02,Memphis Grizzlies,-5.9
2001-02,Miami Heat,-5.3
2001-02,Milwaukee Bucks,3.5
2001-02,Minnesota Timberwolves,-1.3
2001-02,New Jersey Nets,5.2
2001-02,New York Knicks,-6.4
2001-02,Orlando Magic,-4.7
2001-02,Philadelphia 76ers,0.1
2001-02,Phoenix Suns,-0.4
2001-02,Portland Trail Blazers,0.3
2001-02,Sacramento Kings,3.7
2001-02,San Antonio Spurs,3.3
2001-02,Seattle SuperSonics,1.1
2001-02,Toronto Raptors,-3.8
2001-02,Utah Jazz,2.1
2001-02,Washington Wizards,-0.7
2002-03,Atlanta Hawks,-9.6
2002-03,Boston Celtics,-0.2
2002-03,Chicago Bulls,4.8
2002-03,Cleveland Cavaliers,-2.7
2002-03,Dallas Mavericks,1.6
2002-03,Denver Nuggets,-3.3
2002-03,Detroit Pistons,6.6
2002-03,Golden State Warriors,-2.3
2002-03,Houston Rockets,2.1
2002-03,Indiana Pacers,-2.9
2002-03,Los Angeles Clippers,-1.6
2002-03,Los Angeles Lakers,1.5
2002-03,Memphis Grizzlies,1.5
2002-03,Miami Heat,-5.6
2002-03,Milwaukee Bucks,8.8
2002-03,Minnesota Timberwolves,1.6
2002-03,New Jersey Nets,-3.2
2002-03,New Orleans Hornets,0.9
2002-03,New York Knicks,-2.4
2002-03,Orlando Magic,-2.8
2002-03,Philadelphia 76ers,5.3
2002-03,Phoenix Suns,14.0
2002-03,Portland Trail Blazers,-2.9
2002-03,Sacramento Kings,3.2
2002-03,San Antonio Spurs,-6.3
2002-03,Seattle SuperSonics,-1.8
2002-03,Toronto Raptors,-6.2
2002-03,Utah Jazz,1.9
2002-03,Washington Wizards,0.5
2003-04,Atlanta Hawks,-8.0
2003-04,Boston Celtics,-0.3
2003-04,Chicago Bulls,-11.4
2003-04,Cleveland Cavaliers,-4.2
2003-04,Dallas Mavericks,3.5
2003-04,Denver Nuggets,-1.1
2003-04,Detroit Pistons,5.7
2003-04,Golden State Warriors,-1.7
2003-04,Houston Rockets,-0.2
2003-04,Indiana Pacers,7.7
2003-04,Los Angeles Clippers,-6.1
