season,team,wins,losses,avg points scored,avg points allowed,offensive rating,defensive rating
2000-01,Atlanta Hawks,25,57,91.0,96.2,96.9,102.4
2000-01,Boston Celtics,36,46,94.6,96.8,100.1,102.3
2000-01,Charlotte Hornets,46,36,91.9,89.8,99.7,97.6
2000-01,Chicago Bulls,15,67,87.6,96.7,95.9,105.9
2000-01,Cleveland Cavaliers,30,52,92.2,96.5,99.3,103.5
2000-01,Dallas Mavericks,53,29,100.5,96.2,105.6,101.2
2000-01,Denver Nuggets,40,42,96.6,99.0,102.2,104.9
2000-01,Detroit Pistons,32,50,95.6,97.3,98.5,100.3
2000-01,Golden State Warriors,17,65,92.5,101.5,96.3,105.5
2000-01,Houston Rockets,45,37,97.2,94.9,105.2,102.8
2000-01,Indiana Pacers,41,41,92.6,92.8,100.3,100.5
2000-01,Los Angeles Clippers,31,51,92.5,95.3,100.3,103.2
2000-01,Los Angeles Lakers,56,26,100.6,97.2,107.0,103.6
2000-01,Miami Heat,50,32,88.9,86.6,99.4,97.1
2000-01,Milwaukee Bucks,52,30,100.7,96.9,106.8,102.6
2000-01,Minnesota Timberwolves,47,35,97.3,96.0,103.9,102.4
2000-01,New Jersey Nets,26,56,92.1,97.1,98.4,103.8
2000-01,New York Knicks,48,34,88.7,86.1,100.0,97.0
2000-01,Orlando Magic,43,39,97.5,96.5,102.1,101.1
2000-01,Philadelphia 76ers,56,26,94.7,90.4,101.9,97.3
2000-01,Phoenix Suns,51,31,94.0,91.8,98.9,96.7
2000-01,Portland Trail Blazers,50,32,95.4,91.2,104.7,100.5
2000-01,Sacramento Kings,55,27,101.7,95.9,104.2,98.5
2000-01,San Antonio Spurs,58,24,96.2,88.4,105.0,96.6
2000-01,Seattle SuperSonics,44,38,97.3,97.3,104.4,104.2
2000-01,Toronto Raptors,47,35,97.6,95.4,104.4,102.0
2000-01,Utah Jazz,53,29,97.1,92.4,106.1,100.9
2000-01,Vancouver Grizzlies,23,59,91.7,97.5,98.2,104.2
2000-01,Washington Wizards,19,63,93.2,99.9,99.4,106.2
2001-02,Atlanta Hawks,33,49,94.0,98.3,100.4,104.8
2001-02,Boston Celtics,49,33,96.4,94.1,102.1,99.9
2001-02,Charlotte Hornets,44,38,93.9,92.9,102.9,101.8
2001-02,Chicago Bulls,21,61,89.5,98.0,97.2,106.2
2001-02,Cleveland Cavaliers,29,53,95.3,98.6,103.4,107.0
2001-02,Dallas Mavericks,57,25,105.2,101.0,110.3,106.0
2001-02,Denver Nuggets,27,55,92.2,98.0,100.3,106.6
2001-02,Detroit Pistons,50,32,94.3,92.2,103.2,100.9
2001-02,Golden State Warriors,21,61,97.7,103.1,101.5,107.1
2001-02,Houston Rockets,28,54,92.3,97.2,101.6,106.9
2001-02,Indiana Pacers,42,40,96.8,96.5,102.8,102.4
2001-02,Los Angeles Clippers,39,43,95.7,96.1,104.3,104.7
2001-02,Los Angeles Lakers,58,24,101.3,94.1,108.0,100.4
2001-02,Memphis Grizzlies,23,59,89.9,97.3,96.6,104.7
2001-02,Miami Heat,36,46,87.2,88.7,97.3,99.0
2001-02,Milwaukee Bucks,41,41,97.5,97.7,105.3,105.6
2001-02,Minnesota Timberwolves,50,32,99.3,96.0,107.5,104.1
2001-02,New Jersey Nets,52,30,96.2,92.0,102.4,98.1
2001-02,New York Knicks,30,52,91.6,95.6,100.4,104.6
2001-02,Orlando Magic,44,38,100.5,98.9,105.6,104.1
2001-02,Philadelphia 76ers,43,39,91.0,89.4,100.5,98.7
2001-02,Phoenix Suns,36,46,95.1,95.8,101.8,102.6
2001-02,Portland Trail Blazers,49,33,96.6,93.7,105.9,102.6
2001-02,Sacramento Kings,61,21,104.6,97.0,107.9,99.7
2001-02,San Antonio Spurs,58,24,96.7,90.5,105.4,98.5
2001-02,Seattle SuperSonics,45,37,97.7,94.7,107.3,104.1
2001-02,Toronto Raptors,42,40,91.4,91.8,101.1,101.7
2001-02,Utah Jazz,44,38,96.0,95.1,103.8,102.9
2001-02,Washington Wizards,37,45,92.8,94.2,102.9,104.5
2002-03,Atlanta Hawks,35,47,94.1,97.6,100.4,104.2
2002-03,Boston Celtics,44,38,92.7,93.1,100.0,100.5
2002-03,Chicago Bulls,30,52,95.0,100.1,99.1,104.2
2002-03,Cleveland Cavaliers,17,65,91.4,101.0,95.2,105.1
2002-03,Dallas Mavericks,60,22,103.0,95.2,109.3,101.0
2002-03,Denver Nuggets,17,65,84.2,92.4,91.2,100.1
2002-03,Detroit Pistons,50,32,91.4,87.7,102.4,98.2
2002-03,Golden State Warriors,38,44,102.4,103.6,106.4,107.7
2002-03,Houston Rockets,43,39,93.8,92.3,102.4,100.9
2002-03,Indiana Pacers,48,34,96.8,93.3,103.2,99.6
2002-03,Los Angeles Clippers,27,55,93.8,97.9,101.1,105.1
2002-03,Los Angeles Lakers,50,32,100.4,98.0,105.6,103.4
2002-03,Memphis Grizzlies,28,54,97.5,100.7,102.3,105.9
2002-03,Miami Heat,25,57,85.6,90.6,95.4,101.2
2002-03,Milwaukee Bucks,42,40,99.5,99.3,107.2,106.9
2002-03,Minnesota Timberwolves,51,31,98.1,96.0,104.8,102.5
2002-03,New Jersey Nets,49,33,95.4,90.1,102.1,96.6
2002-03,New Orleans Hornets,47,35,93.9,91.8,102.4,100.0
2002-03,New York Knicks,37,45,95.9,97.2,103.3,104.6
2002-03,Orlando Magic,42,40,98.5,98.4,103.7,103.7
2002-03,Philadelphia 76ers,48,34,96.8,94.5,103.2,100.6
2002-03,Phoenix Suns,44,38,95.5,94.4,102.6,101.3
2002-03,Portland Trail Blazers,50,32,95.2,92.5,104.2,101.5
2002-03,Sacramento Kings,59,23,101.7,95.2,104.4,97.8
2002-03,San Antonio Spurs,60,22,95.8,90.4,103.9,98.1
2002-03,Seattle SuperSonics,40,42,92.1,92.3,102.4,102.6
2002-03,Toronto Raptors,24,58,90.9,96.8,99.3,105.6
2002-03,Utah Jazz,47,35,94.7,92.3,103.7,101.1
2002-03,Washington Wizards,37,45,91.5,92.5,101.5,102.6
2003-04,Atlanta Hawks,28,54,92.8,97.5,99.1,103.9
2003-04,Boston Celtics,36,46,95.3,96.7,100.7,102.2
2003-04,Chicago Bulls,23,59,89.7,96.0,95.6,102.1
2003-04,Cleveland Cavaliers,35,47,92.9,95.5,100.6,103.1
2003-04,Dallas Mavericks,52,30,105.2,100.8,110.4,105.9
2003-04,Denver Nuggets,43,39,97.2,96.1,102.4,101.4
2003-04,Detroit Pistons,54,28,90.1,84.3,100.3,93.9
2003-04,Golden State Warriors,37,45,93.3,94.0,101.5,102.6
2003-04,Houston Rockets,45,37,89.8,88.0,99.7,97.8
2003-04,Indiana Pacers,61,21,91.4,85.6,102.5,96.2
2003-04,Los Angeles Clippers,28,54,94.8,99.4,101.9,106.6
2003-04,Los Angeles Lakers,56,26,98.2,94.3,104.2,100.1
2003-04,Memphis Grizzlies,50,32,96.7,94.3,103.4,100.8
2003-04,Miami Heat,42,40,90.3,89.7,100.6,100.3
2003-04,Milwaukee Bucks,41,41,98.0,97.0,104.6,103.5
2003-04,Minnesota Timberwolves,58,24,94.5,89.1,104.2,98.5
2003-04,New Jersey Nets,47,35,90.3,87.8,99.0,96.4
2003-04,New Orleans Hornets,41,41,91.8,91.9,100.7,100.6
2003-04,New York Knicks,39,43,92.0,93.5,99.7,101.3
2003-04,Orlando Magic,21,61,94.0,101.1,101.4,108.8
2003-04,Philadelphia 76ers,33,49,88.0,90.5,97.8,100.4
2003-04,Phoenix Suns,29,53,94.2,97.9,100.3,104.2
2003-04,Portland Trail Blazers,41,41,90.7,92.0,102.1,103.5
2003-04,Sacramento Kings,55,27,102.8,97.8,108.6,103.2
2003-04,San Antonio Spurs,57,25,91.5,84.3,101.0,93.1
2003-04,Seattle SuperSonics,37,45,97.1,97.8,105.6,106.4
2003-04,Toronto Raptors,33,49,85.4,88.5,95.3,98.8
2003-04,Utah Jazz,42,40,88.7,89.9,100.0,101.3
2003-04,Washington Wizards,25,57,91.8,97.4,97.1,102.9
2004-05,Atlanta Hawks,13,69,92.7,102.5,98.8,109.0
2004-05,Boston Celtics,45,37,101.3,100.4,105.9,105.1
2004-05,Charlotte Bobcats,18,64,94.3,100.2,99.8,106.0
2004-05,Chicago Bulls,47,35,94.5,93.4,100.5,99.1
2004-05,Cleveland Cavaliers,42,40,96.5,95.7,105.3,104.7
2004-05,Dallas Mavericks,58,24,102.5,96.8,108.5,102.6
2004-05,Denver Nuggets,49,33,99.5,97.5,104.7,102.6
2004-05,Detroit Pistons,54,28,93.3,89.5,103.9,99.6
2004-05,Golden State Warriors,34,48,98.7,100.9,103.4,105.5
2004-05,Houston Rockets,51,31,95.1,91.0,104.4,100.1
2004-05,Indiana Pacers,44,38,93.0,92.2,103.7,102.7
2004-05,Los Angeles Clippers,37,45,95.7,96.5,103.8,104.5
2004-05,Los Angeles Lakers,34,48,98.7,101.7,106.4,109.6
2004-05,Memphis Grizzlies,45,37,93.4,91.1,104.2,101.5
2004-05,Miami Heat,59,23,101.5,95.0,108.9,102.2
2004-05,Milwaukee Bucks,30,52,97.2,100.2,105.1,108.1
2004-05,Minnesota Timberwolves,44,38,96.8,95.3,106.6,105.0
2004-05,New Jersey Nets,42,40,91.4,92.9,99.9,101.6
2004-05,New Orleans Hornets,18,64,88.4,95.5,98.2,105.9
2004-05,New York Knicks,33,49,97.3,99.7,104.5,107.2
2004-05,Orlando Magic,36,46,99.5,101.8,103.4,105.7
2004-05,Philadelphia 76ers,43,39,99.1,99.9,101.8,102.5
2004-05,Phoenix Suns,62,20,110.4,103.3,112.7,105.7
2004-05,Portland Trail Blazers,27,55,92.9,96.9,101.9,106.1
2004-05,Sacramento Kings,50,32,103.7,101.6,108.8,106.5
2004-05,San Antonio Spurs,59,23,96.2,88.4,106.1,97.8
2004-05,Seattle SuperSonics,52,30,98.9,96.6,110.3,108.0
2004-05,Toronto Raptors,33,49,99.7,101.4,105.4,107.2
2004-05,Utah Jazz,26,56,93.0,97.3,102.9,107.3
2004-05,Washington Wizards,45,37,100.5,100.8,105.4,105.9
2005-06,Atlanta Hawks,26,56,97.2,102.0,104.8,110.1
2005-06,Boston Celtics,33,49,98.0,99.5,104.0,105.6
2005-06,Charlotte Bobcats,26,56,96.9,100.9,101.2,105.6
2005-06,Chicago Bulls,41,41,97.8,97.2,103.3,102.7
2005-06,Cleveland Cavaliers,50,32,97.6,95.4,106.6,104.4
2005-06,Dallas Mavericks,60,22,99.1,93.1,109.9,103.2
2005-06,Denver Nuggets,44,38,100.3,100.1,104.4,104.1
2005-06,Detroit Pistons,64,18,96.8,90.2,109.3,101.7
2005-06,Golden State Warriors,34,48,98.5,99.8,103.5,104.9
2005-06,Houston Rockets,34,48,90.1,91.7,100.4,102.1
2005-06,Indiana Pacers,41,41,93.9,92.0,103.1,101.0
2005-06,Los Angeles Clippers,47,35,97.2,95.6,103.8,102.2
2005-06,Los Angeles Lakers,45,37,99.4,96.9,106.8,104.2
2005-06,Memphis Grizzlies,49,33,92.2,88.5,104.5,100.4
2005-06,Miami Heat,52,30,99.9,96.0,107.5,103.4
2005-06,Milwaukee Bucks,40,42,97.8,98.8,104.9,105.9
2005-06,Minnesota Timberwolves,33,49,91.7,93.6,101.5,103.5
2005-06,New Jersey Nets,49,33,93.8,92.4,102.4,100.9
2005-06,New Orleans/Oklahoma City Hornets,38,44,92.8,95.6,102.3,105.1
2005-06,New York Knicks,23,59,95.6,102.0,102.7,109.3
2005-06,Orlando Magic,36,46,94.9,96.0,105.3,106.6
2005-06,Philadelphia 76ers,38,44,99.4,101.3,104.7,106.5
2005-06,Phoenix Suns,54,28,108.4,102.8,110.2,104.7
2005-06,Portland Trail Blazers,21,61,88.8,98.3,99.7,110.3
2005-06,Sacramento Kings,44,38,98.9,97.3,105.3,103.5
2005-06,San Antonio Spurs,63,19,95.6,88.8,106.2,98.7
2005-06,Seattle SuperSonics,35,47,102.6,105.6,109.4,112.7
2005-06,Toronto Raptors,27,55,101.1,104.0,107.9,111.2
2005-06,Utah Jazz,41,41,92.4,95.0,102.4,105.1
2005-06,Washington Wizards,42,40,101.7,99.8,107.7,105.8
2006-07,Atlanta Hawks,30,52,93.7,98.4,102.0,107.0
2006-07,Boston Celtics,24,58,95.8,99.2,102.3,105.8
2006-07,Charlotte Bobcats,33,49,96.9,100.6,102.4,106.3
2006-07,Chicago Bulls,49,33,98.8,93.8,104.0,98.8
2006-07,Cleveland Cavaliers,50,32,96.8,92.9,104.4,100.6
2006-07,Dallas Mavericks,67,15,100.0,92.8,109.7,102.1
2006-07,Denver Nuggets,45,37,105.4,103.7,106.7,105.1
2006-07,Detroit Pistons,53,29,96.0,91.8,107.4,102.6
2006-07,Golden State Warriors,42,40,106.5,106.9,106.2,106.5
2006-07,Houston Rockets,52,30,97.0,92.1,104.7,99.7
2006-07,Indiana Pacers,35,47,95.6,98.0,101.9,104.4
2006-07,Los Angeles Clippers,40,42,95.6,96.1,103.8,104.2
2006-07,Los Angeles Lakers,42,40,103.3,103.4,107.3,107.5
2006-07,Memphis Grizzlies,22,60,101.6,106.7,105.7,110.9
2006-07,Miami Heat,44,38,94.6,95.5,103.4,104.6
2006-07,Milwaukee Bucks,28,54,99.7,104.0,106.0,110.3
2006-07,Minnesota Timberwolves,32,50,96.1,99.7,102.4,106.5
2006-07,New Jersey Nets,41,41,97.6,98.3,104.2,105.1
2006-07,New Orleans/Oklahoma City Hornets,39,43,95.5,97.1,103.7,105.4
2006-07,New York Knicks,33,49,97.5,100.3,104.3,107.4
