game_id,season,game_date,road_team,home_team,road_offensive_rating,home_offensive_rating,road_shooting,road_ball_handling,road_orebounding,road_free_throws,home_shooting,home_ball_handling,home_orebounding,home_free_throws,road_efg_pct,road_ball_handling_value,road_oreb_pct,road_ft_rate,home_efg_pct,home_ball_handling_value,home_oreb_pct,home_ft_rate,road_q1,road_q2,road_q3,road_q4,road_ot,road_total,home_q1,home_q2,home_q3,home_q4,home_ot,home_total
0022500001,2025-26,2025-10-21,HOU,OKC,107.8,112.6,5.5,9.2,-7.6,-2.0,-4.8,3.7,0.1,-0.2,50.0,78.3,37.2,27.8,50.5,89.2,23.4,19.2,30,27,22,25,20,124,27,24,24,29,21,125
0022500002,2025-26,2025-10-21,GSW,LAL,119.0,106.9,-8.7,6.0,0.7,-3.4,8.9,-6.7,-2.7,0.5,59.6,81.0,22.0,33.3,59.7,80.4,18.4,22.1,28,27,35,29,0,119,22,32,25,30,0,109
0022500083,2025-26,2025-10-22,PHI,BOS,117.0,116.0,-2.3,0.1,-0.3,-1.8,-3.9,3.5,0.9,1.4,55.3,86.0,23.8,27.1,51.1,89.0,25.0,25.3,26,31,18,42,0,117,28,23,35,30,0,116
0022500088,2025-26,2025-10-22,SAC,PHX,116.0,117.6,-1.5,-1.1,1.0,1.6,-1.7,-2.1,8.6,0.3,54.8,87.0,21.4,13.8,52.6,84.3,39.1,21.1,29,42,21,24,0,116,19,35,36,30,0,120
0022500087,2025-26,2025-10-22,LAC,UTA,113.7,135.8,2.2,2.2,-4.3,0.5,16.6,0.3,7.0,-0.4,52.3,84.2,31.2,18.2,64.9,86.3,36.1,18.4,19,28,33,28,0,108,43,35,30,21,0,129
0022500086,2025-26,2025-10-22,WAS,MIL,112.1,124.3,-2.8,-2.1,-0.7,2.2,9.6,7.6,-6.1,-1.2,55.6,87.9,24.5,11.2,60.2,92.5,12.2,15.3,23,30,37,30,0,120,40,32,29,32,0,133
0022500085,2025-26,2025-10-22,NOP,MEM,113.0,117.4,4.0,-0.0,-5.8,-0.6,6.5,-2.0,-3.6,6.1,51.0,86.1,34.0,22.4,58.1,84.4,16.7,43.8,30,37,22,33,0,122,27,29,41,31,0,128
0022500084,2025-26,2025-10-22,DET,CHI,105.7,108.5,8.6,-5.2,-1.2,0.4,-3.9,-3.6,1.8,2.6,47.9,90.5,25.5,18.6,51.1,83.0,26.7,29.9,19,30,30,32,0,111,35,29,30,21,0,115
0022500082,2025-26,2025-10-22,TOR,ATL,122.1,104.4,-9.3,3.4,-4.5,-1.4,-8.9,-0.3,-4.0,4.0,60.0,83.2,31.6,25.3,47.8,85.8,16.0,35.6,36,29,45,28,0,138,34,25,28,31,0,118
0022500081,2025-26,2025-10-22,MIA,ORL,109.0,112.6,-1.8,3.8,1.1,-0.8,-0.6,0.5,-2.0,3.2,54.9,82.9,21.3,23.1,53.3,86.5,19.6,32.2,39,26,26,30,0,121,38,31,21,35,0,125
0022500089,2025-26,2025-10-22,MIN,POR,112.4,110.7,-5.7,4.9,-0.3,-0.6,-9.7,-1.9,-3.6,3.2,57.6,81.9,23.8,22.1,47.2,84.5,16.7,32.2,33,24,31,30,0,118,35,26,34,19,0,114
0022500080,2025-26,2025-10-22,BKN,CHA,110.4,128.3,2.2,2.5,-0.9,-2.2,13.4,-2.5,6.4,1.4,52.3,84.0,25.0,28.4,62.8,84.0,35.0,25.6,32,28,37,20,0,117,38,39,34,25,0,136
0022500004,2025-26,2025-10-22,SAS,DAL,125.0,91.1,-12.4,1.3,-2.7,0.1,-16.3,-2.3,-2.5,1.4,62.1,85.0,28.2,19.5,42.8,84.2,18.8,25.3,28,32,33,32,0,125,29,22,21,20,0,92
0022500003,2025-26,2025-10-22,CLE,NYK,105.7,113.3,-5.7,0.4,7.7,1.5,-3.8,0.7,0.6,4.1,57.6,85.7,9.3,14.0,51.2,86.7,24.3,36.0,23,27,37,24,0,111,33,32,22,32,0,119
0022500006,2025-26,2025-10-23,DEN,GSW,123.6,128.0,-12.4,-2.0,3.2,1.6,8.7,6.5,-0.9,-0.2,62.1,87.7,17.5,13.7,59.6,91.6,21.7,19.2,31,39,24,26,11,131,27,34,33,26,17,137
0022500005,2025-26,2025-10-23,OKC,IND,114.6,108.0,4.8,-3.0,3.5,-7.0,-5.6,3.2,-3.0,2.2,50.5,88.6,17.0,47.4,50.0,88.8,17.7,28.6,22,32,27,32,28,141,25,22,31,35,22,135
0022500093,2025-26,2025-10-24,DET,HOU,115.0,111.0,-2.7,4.8,-6.3,0.8,-13.6,-0.1,5.8,6.3,55.6,82.0,34.9,16.7,44.6,86.0,34.0,44.6,32,31,24,28,0,115,33,23,30,25,0,111
0022500094,2025-26,2025-10-24,MIA,MEM,129.2,100.9,-14.1,4.4,-7.5,0.8,-10.2,-4.4,-0.1,1.6,63.2,82.3,37.0,16.7,46.8,82.3,23.1,26.3,44,42,28,32,0,146,25,22,29,38,0,114
