season,phase,summary_exists,candidate_games,processed_games,matched_games,mismatched_games,source_consistent_mismatched_games,parser_mismatched_games,mixed_mismatched_games,missing_pbp_games,pending_pbp_games,skipped_existing_games
2000-01,playoffs,True,71,71,55,16,16,0,0,0,0,0
2000-01,regular,True,1189,1189,1186,3,0,3,0,0,0,0
2001-02,playoffs,True,71,71,71,0,0,0,0,0,0,0
2001-02,regular,True,1189,1189,1187,2,1,1,0,0,0,0
2002-03,playoffs,True,88,88,64,24,24,0,0,0,0,0
2002-03,regular,True,1189,1189,1185,4,1,3,0,0,0,0
2003-04,playoffs,True,82,82,56,26,26,0,0,0,0,0
2003-04,regular,True,1189,1189,1159,30,26,4,0,0,0,0
2004-05,playoffs,True,84,84,84,0,0,0,0,0,0,0
2004-05,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2005-06,playoffs,True,89,89,89,0,0,0,0,0,0,0
2005-06,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2006-07,playoffs,True,79,79,79,0,0,0,0,0,0,0
2006-07,regular,True,1230,1230,1229,1,0,1,0,0,0,0
2007-08,playoffs,True,86,86,86,0,0,0,0,0,0,0
2007-08,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2008-09,playoffs,True,85,85,85,0,0,0,0,0,0,0
2008-09,regular,True,1230,1230,1207,23,0,23,0,0,0,0
2009-10,playoffs,True,82,82,82,0,0,0,0,0,0,0
2009-10,regular,True,1230,1230,1221,9,0,9,0,0,0,0
2010-11,playoffs,True,81,81,81,0,0,0,0,0,0,0
2010-11,regular,True,1230,1230,1219,11,0,11,0,0,0,0
2011-12,playoffs,True,84,84,83,1,0,1,0,0,0,0
2011-12,regular,True,990,990,978,12,0,12,0,0,0,0
2012-13,playoffs,True,85,85,84,1,0,1,0,0,0,0
2012-13,regular,True,1229,1229,1221,8,0,8,0,0,0,0
2013-14,playoffs,True,89,89,89,0,0,0,0,0,0,0
2013-14,regular,True,1230,1230,1214,16,0,16,0,0,0,0
2014-15,playoffs,True,81,81,79,2,0,2,0,0,0,0
2014-15,regular,True,1230,1230,1223,7,0,7,0,0,0,0
2015-16,playoffs,True,86,86,84,2,0,2,0,0,0,0
2015-16,regular,True,1230,1230,1221,9,0,9,0,0,0,0
2016-17,playoffs,True,79,79,79,0,0,0,0,0,0,0
2016-17,regular,True,1230,1230,1220,10,0,10,0,0,0,0
2017-18,playoffs,True,82,82,82,0,0,0,0,0,0,0
2017-18,regular,True,1230,1230,1228,2,0,2,0,0,0,0
2018-19,playoffs,True,82,82,82,0,0,0,0,0,0,0
2018-19,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2019-20,playoffs,True,84,84,84,0,0,0,0,0,0,0
2019-20,regular,True,1059,1059,1059,0,0,0,0,0,0,0
2020-21,playoffs,True,91,91,91,0,0,0,0,0,0,0
2020-21,regular,True,1080,1080,1080,0,0,0,0,0,0,0
2021-22,playoffs,True,93,93,93,0,0,0,0,0,0,0
2021-22,regular,True,1230,1230,1228,2,0,2,0,0,0,0
2022-23,playoffs,True,90,90,90,0,0,0,0,0,0,0
2022-23,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2023-24,playoffs,True,88,88,88,0,0,0,0,0,0,0
2023-24,regular,True,1230,1230,1228,2,0,2,0,0,0,0
2024-25,playoffs,True,90,90,90,0,0,0,0,0,0,0
2024-25,regular,True,1230,1230,1230,0,0,0,0,0,0,0
2025-26,regular,True,875,869,868,1,0,1,0,6,0,0
