team,games,off_rating,def_rating,net_rating,games_opp_off_rating_opp_gt_115,games_opp_off_rating_opp_lte_115,games_opp_def_rating_opp_gt_115,games_opp_def_rating_opp_lte_115,off_rating_opp_off_rating_opp_gt_115,off_rating_opp_off_rating_opp_lte_115,off_rating_opp_def_rating_opp_gt_115,off_rating_opp_def_rating_opp_lte_115,def_rating_opp_off_rating_opp_gt_115,def_rating_opp_off_rating_opp_lte_115,def_rating_opp_def_rating_opp_gt_115,def_rating_opp_def_rating_opp_lte_115,net_rating_opp_off_rating_opp_gt_115,net_rating_opp_off_rating_opp_lte_115,net_rating_opp_def_rating_opp_gt_115,net_rating_opp_def_rating_opp_lte_115
ATL,82,115.12206684048351,112.94955489614242,2.172511944341096,37.0,45.0,33.0,49.0,111.42781033564198,118.08283518360376,120.21906453522794,111.71936758893281,116.9776119402985,109.71538626150226,110.94955489614244,114.28288822947576,-5.549801604656523,8.367448922101502,9.269509639085499,-2.563520640542947
BKN,82,109.50579929399899,119.65005035246728,-10.144251058468285,39.0,43.0,32.0,50.0,105.24658971668414,113.44660194174759,116.79288771814291,104.98467824310521,122.15239591516102,117.33333333333333,118.7026671056964,120.23639698390053,-16.90580619847688,-3.886731391585741,-1.909779387553499,-15.251718740795326
BOS,82,119.97452229299364,111.72282263191353,8.25169966108011,36.0,46.0,34.0,48.0,117.30994152046783,122.03160270880362,124.1421568627451,117.0082860880942,115.34190531852717,108.93540400630204,108.58277336591327,113.96209976040079,1.968036201940663,13.096198702501582,15.559383496831828,3.0461863276934054
CHA,82,118.40926064227035,113.48020911127708,4.929051530993277,36.0,46.0,35.0,47.0,114.91681009753299,121.08619173262973,122.99651567944252,114.9673202614379,117.02493551160791,110.75907590759076,112.18804410911201,114.45074106364427,-2.1081254140749195,10.327115825038973,10.80847157033051,0.5165791977936323
CHI,82,112.12085586644722,117.41692198915861,-5.2960661227113945,40.0,42.0,32.0,50.0,112.5697646202378,111.69897377423032,115.20239880059971,110.13343647263585,120.25778210116731,114.74622770919068,116.24548736462094,118.17125145292522,-7.688017480929503,-3.0472539349603522,-1.0430885640212324,-8.037814980289369
CLE,82,118.28385228095584,114.14787118562298,4.135981095332866,36.0,46.0,35.0,47.0,115.79236473496293,120.23681377825619,121.76370830977955,115.69081718618366,114.66959144502331,113.73815676141257,112.86037309214245,115.10624868504102,1.122773289939616,6.498657016843623,8.903335217637093,0.5845685011426411
DAL,82,111.72397325692454,116.95278969957081,-5.228816442646277,41.0,41.0,38.0,44.0,112.31671554252199,111.15779645191411,115.74844074844076,108.30388692579504,120.63492063492063,113.4404845096669,117.69430051813472,116.32067137809187,-8.318205092398642,-2.282688057752793,-1.9458597696939677,-8.016784452296832
DEN,82,121.2011139363119,116.02129719264278,5.179816743669122,36.0,46.0,35.0,47.0,117.62926292629263,124.01038286826736,122.80751708428245,120.01263956182852,117.75881057268722,114.65889464594127,115.6276686592656,116.3123552936224,-0.12954764639459881,9.351488222326083,7.179848425016857,3.7002842682061186
DET,82,117.32474790426437,108.9058524173028,8.418895486961574,35.0,47.0,36.0,46.0,114.44539982803094,119.44327288064108,120.55172413793103,114.78506296135475,109.36073059360731,108.57022531059171,108.91089108910892,108.90188434048082,5.084669234423629,10.873047570049366,11.640833048822117,5.8831786208739345
GSW,82,113.9427740058196,114.45885347230637,-0.5160794664867723,41.0,41.0,39.0,43.0,110.8957055214724,116.91828420800383,116.44569097399287,111.67360147942674,116.45818003433897,112.50598945855295,112.87280142747898,115.89648798521257,-5.562474512866572,4.412294749450879,3.572889546513892,-4.222886505785837
