team,games,points_for,points_against,off_poss,def_poss,off_rating,def_rating,net_rating
ATL,82,9714,9516,8438.0,8425.0,115.12206684048351,112.94955489614242,2.172511944341096
BKN,82,8686,9505,7932.0,7944.0,109.50579929399899,119.65005035246728,-10.144251058468285
BOS,82,9418,8787,7850.0,7865.0,119.97452229299364,111.72282263191353,8.25169966108011
CHA,82,9513,9117,8034.0,8034.0,118.40926064227035,113.48020911127708,4.929051530993277
CHI,82,9537,9964,8506.0,8486.0,112.12085586644722,117.41692198915861,-5.2960661227113945
CLE,82,9801,9464,8286.0,8291.0,118.28385228095584,114.14787118562298,4.135981095332866
DAL,82,9358,9810,8376.0,8388.0,111.72397325692454,116.95278969957081,-5.228816442646277
DEN,82,10010,9588,8259.0,8264.0,121.2011139363119,116.02129719264278,5.179816743669122
DET,82,9657,8988,8231.0,8253.0,117.32474790426437,108.9058524173028,8.418895486961574
GSW,82,9398,9444,8248.0,8251.0,113.9427740058196,114.45885347230637,-0.5160794664867723
HOU,82,9449,9021,8042.0,8045.0,117.49564784879382,112.13175885643255,5.363888992361268
IND,82,9219,9874,8324.0,8325.0,110.75204228736185,118.6066066066066,-7.8545643192447585
LAC,82,9329,9236,8019.0,8017.0,116.33620152138671,115.20518897343146,1.131012547955251
LAL,82,9540,9396,8053.0,8034.0,118.46516826027566,116.9529499626587,1.512218297616954
MEM,82,9403,9896,8365.0,8355.0,112.40884638374177,118.44404548174745,-6.035199098005677
MIA,82,9911,9720,8557.0,8547.0,115.82330255930817,113.72411372411374,2.0991888351944397
MIL,82,9072,9581,7991.0,8005.0,113.52771868351897,119.68769519050593,-6.159976506986965
MIN,82,9676,9401,8264.0,8252.0,117.08615682478218,113.92389723703344,3.1622595877487356
NOP,82,9473,9842,8256.0,8259.0,114.74079457364341,119.16696936675142,-4.426174793108004
NYK,81,9417,8910,7941.0,7936.0,118.58707971288251,112.27318548387098,6.313894229011538
OKC,81,9651,8735,8188.0,8194.0,117.8676111382511,106.60239199414205,11.265219144109054
ORL,81,9371,9307,8206.0,8203.0,114.19692907628564,113.45849079605021,0.7384382802354281
PHI,82,9502,9517,8292.0,8295.0,114.59237819585142,114.7317661241712,-0.13938792831977764
PHX,82,9232,9112,8083.0,8074.0,114.2150191760485,112.85608124845182,1.3589379275966849
POR,82,9469,9493,8317.0,8308.0,113.85114825057113,114.26336061627347,-0.4122123657023451
SAC,82,9102,9922,8233.0,8249.0,110.55508320174906,120.28124621166202,-9.726163009912966
SAS,81,9715,9036,8163.0,8171.0,119.01261791008208,110.58621955696977,8.426398353112319
TOR,82,9400,9168,8177.0,8178.0,114.95658554482084,112.10564930300808,2.850936241812761
UTA,82,9642,10333,8535.0,8529.0,112.9701230228471,121.15136592801032,-8.181242905163217
WAS,82,9258,10240,8442.0,8431.0,109.66595593461265,121.45652947455818,-11.790573539945527
