season,season_start_year,franchise_id,team,all_games,all_minutes,all_possessions,all_opp_possessions,all_pts,all_opp_pts,all_off_rating,all_def_rating,all_net_rating,clutch_games,clutch_minutes,clutch_possessions,clutch_opp_possessions,clutch_pts,clutch_opp_pts,clutch_off_rating,clutch_def_rating,clutch_net_rating,non_clutch_games,non_clutch_minutes,non_clutch_possessions,non_clutch_opp_possessions,non_clutch_pts,non_clutch_opp_pts,non_clutch_off_rating,non_clutch_def_rating,non_clutch_net_rating,clutch_minus_non_clutch_net,clutch_minus_all_net,clutch_time_pct,clutch_poss_pct
2000-01,2000,1610612737,ATL,82,19730.0,7695.0,7699.0,7459.0,7886.0,96.933,102.429,-5.496,46,734.0,308.0,312.0,268.0,326.0,87.013,104.487,-17.474,82,18996.0,7387.0,7387.0,7191.0,7560.0,97.347,102.342,-4.995,-12.479,-11.978,3.72,4.003
2000-01,2000,1610612738,BOS,82,19830.0,7748.0,7754.0,7759.0,7934.0,100.142,102.321,-2.179,49,928.0,410.0,422.0,390.0,409.0,95.122,96.919,-1.797,82,18902.0,7338.0,7332.0,7369.0,7525.0,100.422,102.632,-2.21,0.412,0.382,4.68,5.292
2000-01,2000,1610612766,CHH,82,19880.0,7565.0,7551.0,7539.0,7367.0,99.656,97.563,2.093,44,870.0,357.0,364.0,327.0,351.0,91.597,96.429,-4.832,82,19010.0,7208.0,7187.0,7212.0,7016.0,100.055,97.621,2.435,-7.267,-6.925,4.376,4.719
2000-01,2000,1610612741,CHI,82,19855.0,7486.0,7483.0,7181.0,7927.0,95.926,105.933,-10.008,47,826.0,341.0,364.0,319.0,391.0,93.548,107.418,-13.869,82,19029.0,7145.0,7119.0,6862.0,7536.0,96.039,105.858,-9.818,-4.051,-3.861,4.16,4.555
2000-01,2000,1610612739,CLE,82,19828.0,7613.0,7642.0,7561.0,7909.0,99.317,103.494,-4.177,43,793.0,344.0,349.0,314.0,303.0,91.279,86.819,4.46,82,19035.0,7269.0,7293.0,7247.0,7606.0,99.697,104.292,-4.594,9.054,8.636,3.999,4.519
2000-01,2000,1610612742,DAL,82,19804.0,7803.0,7796.0,8239.0,7888.0,105.588,101.18,4.408,35,586.0,271.0,273.0,280.0,284.0,103.321,104.029,-0.708,82,19218.0,7532.0,7523.0,7959.0,7604.0,105.669,101.077,4.592,-5.301,-5.116,2.959,3.473
2000-01,2000,1610612743,DEN,82,19780.0,7751.0,7740.0,7918.0,8120.0,102.155,104.91,-2.755,49,867.0,367.0,380.0,369.0,363.0,100.545,95.526,5.019,82,18913.0,7384.0,7360.0,7549.0,7757.0,102.235,105.394,-3.159,8.178,7.774,4.383,4.735
2000-01,2000,1610612765,DET,82,19855.0,7955.0,7954.0,7837.0,7976.0,98.517,100.277,-1.76,43,742.0,316.0,325.0,290.0,330.0,91.772,101.538,-9.766,82,19113.0,7639.0,7629.0,7547.0,7646.0,98.796,100.223,-1.427,-8.339,-8.006,3.737,3.972
2000-01,2000,1610612744,GSW,82,19780.0,7879.0,7895.0,7584.0,8326.0,96.256,105.459,-9.203,37,612.0,273.0,282.0,231.0,304.0,84.615,107.801,-23.186,82,19168.0,7606.0,7613.0,7353.0,8022.0,96.674,105.372,-8.699,-14.487,-13.983,3.094,3.465
2000-01,2000,1610612745,HOU,82,19830.0,7575.0,7571.0,7972.0,7784.0,105.241,102.813,2.428,45,790.0,355.0,353.0,371.0,311.0,104.507,88.102,16.405,82,19040.0,7220.0,7218.0,7601.0,7473.0,105.277,103.533,1.744,14.661,13.978,3.984,4.686
