season,season_start_year,franchise_id,team,clutch_games_total,all_games_first,all_minutes_first,all_possessions_first,all_opp_possessions_first,all_pts_first,all_opp_pts_first,all_off_rating_first,all_def_rating_first,all_net_rating_first,clutch_games_first,clutch_minutes_first,clutch_possessions_first,clutch_opp_possessions_first,clutch_pts_first,clutch_opp_pts_first,clutch_off_rating_first,clutch_def_rating_first,clutch_net_rating_first,non_clutch_games_first,non_clutch_minutes_first,non_clutch_possessions_first,non_clutch_opp_possessions_first,non_clutch_pts_first,non_clutch_opp_pts_first,non_clutch_off_rating_first,non_clutch_def_rating_first,non_clutch_net_rating_first,clutch_minus_non_clutch_net_first,clutch_minus_all_net_first,all_games_second,all_minutes_second,all_possessions_second,all_opp_possessions_second,all_pts_second,all_opp_pts_second,all_off_rating_second,all_def_rating_second,all_net_rating_second,clutch_games_second,clutch_minutes_second,clutch_possessions_second,clutch_opp_possessions_second,clutch_pts_second,clutch_opp_pts_second,clutch_off_rating_second,clutch_def_rating_second,clutch_net_rating_second,non_clutch_games_second,non_clutch_minutes_second,non_clutch_possessions_second,non_clutch_opp_possessions_second,non_clutch_pts_second,non_clutch_opp_pts_second,non_clutch_off_rating_second,non_clutch_def_rating_second,non_clutch_net_rating_second,clutch_minus_non_clutch_net_second,clutch_minus_all_net_second,eligible_default
2000-01,2000,1610612737,ATL,46,23,5520.0,2110.0,2109.0,1999.0,2054.0,94.739,97.392,-2.653,23,297.0,122.0,124.0,111.0,114.0,90.984,91.935,-0.952,23,5223.0,1988.0,1985.0,1888.0,1940.0,94.97,97.733,-2.763,1.811,1.701,23,5570.0,2206.0,2207.0,2271.0,2310.0,102.947,104.667,-1.72,23,437.0,186.0,188.0,157.0,212.0,84.409,112.766,-28.357,23,5133.0,2020.0,2019.0,2114.0,2098.0,104.653,103.913,0.741,-29.098,-26.637,True
2000-01,2000,1610612738,BOS,49,24,5835.0,2298.0,2301.0,2294.0,2320.0,99.826,100.826,-1.0,24,441.0,190.0,194.0,204.0,194.0,107.368,100.0,7.368,24,5394.0,2108.0,2107.0,2090.0,2126.0,99.146,100.902,-1.756,9.124,8.368,25,6075.0,2346.0,2351.0,2397.0,2418.0,102.174,102.85,-0.676,25,487.0,220.0,228.0,186.0,215.0,84.545,94.298,-9.753,25,5588.0,2126.0,2123.0,2211.0,2203.0,103.998,103.768,0.23,-9.983,-9.077,True
2000-01,2000,1610612766,CHH,44,22,5455.0,2029.0,2021.0,1972.0,1969.0,97.191,97.427,-0.236,22,505.0,206.0,206.0,191.0,183.0,92.718,88.835,3.883,22,4950.0,1823.0,1815.0,1781.0,1786.0,97.696,98.402,-0.706,4.59,4.12,22,5305.0,2063.0,2062.0,2054.0,2067.0,99.564,100.242,-0.679,22,365.0,151.0,158.0,136.0,168.0,90.066,106.329,-16.263,22,4940.0,1912.0,1904.0,1918.0,1899.0,100.314,99.737,0.576,-16.839,-15.584,True
2000-01,2000,1610612741,CHI,47,23,5595.0,2097.0,2098.0,2071.0,2175.0,98.76,103.67,-4.91,23,385.0,156.0,169.0,140.0,195.0,89.744,115.385,-25.641,23,5210.0,1941.0,1929.0,1931.0,1980.0,99.485,102.644,-3.159,-22.482,-20.731,24,5860.0,2203.0,2197.0,2229.0,2273.0,101.18,103.459,-2.279,24,441.0,185.0,195.0,179.0,196.0,96.757,100.513,-3.756,24,5419.0,2018.0,2002.0,2050.0,2077.0,101.586,103.746,-2.161,-1.596,-1.477,True
2000-01,2000,1610612739,CLE,43,21,5115.0,1969.0,1977.0,1997.0,1958.0,101.422,99.039,2.383,21,395.0,172.0,178.0,165.0,135.0,95.93,75.843,20.088,21,4720.0,1797.0,1799.0,1832.0,1823.0,101.948,101.334,0.614,19.474,17.704,22,5355.0,2048.0,2062.0,2054.0,2113.0,100.293,102.473,-2.18,22,398.0,172.0,171.0,149.0,168.0,86.628,98.246,-11.618,22,4957.0,1876.0,1891.0,1905.0,1945.0,101.546,102.856,-1.31,-10.308,-9.437,True
2000-01,2000,1610612742,DAL,35,17,4080.0,1600.0,1595.0,1680.0,1691.0,105.0,106.019,-1.019,17,246.0,115.0,116.0,121.0,131.0,105.217,112.931,-7.714,17,3834.0,1485.0,1479.0,1559.0,1560.0,104.983,105.477,-0.494,-7.22,-6.695,18,4445.0,1730.0,1733.0,1811.0,1790.0,104.682,103.289,1.393,18,340.0,156.0,157.0,159.0,153.0,101.923,97.452,4.471,18,4105.0,1574.0,1576.0,1652.0,1637.0,104.956,103.871,1.085,3.386,3.078,True
2000-01,2000,1610612743,DEN,49,24,5835.0,2321.0,2319.0,2426.0,2365.0,104.524,101.984,2.54,24,437.0,188.0,190.0,181.0,170.0,96.277,89.474,6.803,24,5398.0,2133.0,2129.0,2245.0,2195.0,105.251,103.1,2.151,4.652,4.263,25,6025.0,2325.0,2319.0,2402.0,2443.0,103.312,105.347,-2.035,25,430.0,179.0,190.0,188.0,193.0,105.028,101.579,3.449,25,5595.0,2146.0,2129.0,2214.0,2250.0,103.169,105.683,-2.515,5.964,5.484,True
2000-01,2000,1610612765,DET,43,21,5065.0,2029.0,2033.0,2048.0,2067.0,100.936,101.672,-0.736,21,275.0,116.0,117.0,106.0,118.0,91.379,100.855,-9.475,21,4790.0,1913.0,1916.0,1942.0,1949.0,101.516,101.722,-0.206,-9.269,-8.739,22,5430.0,2143.0,2141.0,2087.0,2135.0,97.387,99.72,-2.333,22,467.0,200.0,208.0,184.0,212.0,92.0,101.923,-9.923,22,4963.0,1943.0,1933.0,1903.0,1923.0,97.941,99.483,-1.541,-8.382,-7.59,True
2000-01,2000,1610612744,GSW,37,18,4395.0,1759.0,1760.0,1748.0,1789.0,99.375,101.648,-2.273,18,297.0,134.0,142.0,125.0,151.0,93.284,106.338,-13.054,18,4098.0,1625.0,1618.0,1623.0,1638.0,99.877,101.236,-1.359,-11.695,-10.781,19,4585.0,1836.0,1830.0,1784.0,1822.0,97.168,99.563,-2.395,19,315.0,139.0,140.0,106.0,153.0,76.259,109.286,-33.027,19,4270.0,1697.0,1690.0,1678.0,1669.0,98.88,98.757,0.123,-33.15,-30.632,True
2000-01,2000,1610612745,HOU,45,22,5305.0,2002.0,2005.0,2063.0,2021.0,103.047,100.798,2.249,22,307.0,143.0,143.0,158.0,102.0,110.49,71.329,39.161,22,4998.0,1859.0,1862.0,1905.0,1919.0,102.474,103.061,-0.587,39.748,36.912,23,5645.0,2159.0,2156.0,2237.0,2219.0,103.613,102.922,0.691,23,483.0,212.0,210.0,213.0,209.0,100.472,99.524,0.948,23,5162.0,1947.0,1946.0,2024.0,2010.0,103.955,103.289,0.666,0.282,0.257,True
