season_t,season_t1,season_pair,franchise_id,team_t,team_t1,clutch_possessions_t,clutch_possessions_t1,clutch_games_t,clutch_games_t1,clutch_net_rating_t,clutch_net_rating_t1,non_clutch_net_rating_t,non_clutch_net_rating_t1,all_net_rating_t,all_net_rating_t1,clutch_minus_non_clutch_net_t,clutch_minus_non_clutch_net_t1,clutch_minus_all_net_t,clutch_minus_all_net_t1,eligible_default
2000-01,2001-02,2000-01->2001-02,1610612737,ATL,ATL,308.0,357.0,46,47,-17.474,-5.039,-4.995,-4.381,-5.496,-4.41,-12.479,-0.658,-11.978,-0.629,True
2000-01,2001-02,2000-01->2001-02,1610612738,BOS,BOS,410.0,449.0,49,51,-1.797,17.563,-2.21,1.304,-2.179,2.223,0.412,16.259,0.382,15.34,True
2000-01,2001-02,2000-01->2001-02,1610612766,CHH,CHH,357.0,363.0,44,49,-4.832,3.155,2.435,1.09,2.093,1.179,-7.267,2.064,-6.925,1.976,True
2000-01,2001-02,2000-01->2001-02,1610612741,CHI,CHI,341.0,354.0,47,44,-13.869,2.13,-9.818,-9.65,-10.008,-9.076,-4.051,11.781,-3.861,11.206,True
2000-01,2001-02,2000-01->2001-02,1610612739,CLE,CLE,344.0,304.0,43,40,4.46,7.56,-4.594,-4.059,-4.177,-3.586,9.054,11.619,8.636,11.147,True
2000-01,2001-02,2000-01->2001-02,1610612742,DAL,DAL,271.0,330.0,35,39,-0.708,8.222,4.592,4.096,4.408,4.271,-5.301,4.126,-5.116,3.95,True
2000-01,2001-02,2000-01->2001-02,1610612743,DEN,DEN,367.0,340.0,49,41,5.019,-5.736,-3.159,-6.345,-2.755,-6.3,8.178,0.609,7.774,0.565,True
2000-01,2001-02,2000-01->2001-02,1610612765,DET,DET,316.0,384.0,43,50,-9.766,3.375,-1.427,2.269,-1.76,2.294,-8.339,1.106,-8.006,1.081,True
2000-01,2001-02,2000-01->2001-02,1610612744,GSW,GSW,273.0,294.0,37,39,-23.186,-19.972,-8.699,-5.037,-9.203,-5.588,-14.487,-14.935,-13.983,-14.384,True
2000-01,2001-02,2000-01->2001-02,1610612745,HOU,HOU,355.0,533.0,45,58,16.405,-10.056,1.744,-5.034,2.428,-5.393,14.661,-5.022,13.978,-4.664,True
2000-01,2001-02,2000-01->2001-02,1610612754,IND,IND,419.0,380.0,44,48,0.752,-1.947,-0.222,0.486,-0.185,0.365,0.974,-2.433,0.937,-2.312,True
2000-01,2001-02,2000-01->2001-02,1610612746,LAC,LAC,417.0,344.0,42,41,-13.012,-4.934,-2.316,-0.212,-2.903,-0.422,-10.696,-4.722,-10.109,-4.512,True
2000-01,2001-02,2000-01->2001-02,1610612747,LAL,LAL,400.0,313.0,47,39,4.065,9.567,3.445,7.522,3.458,7.606,0.62,2.045,0.607,1.961,True
2000-01,2001-02,2000-01->2001-02,1610612748,MIA,MIA,427.0,445.0,53,53,6.996,-5.897,2.031,-1.434,2.313,-1.702,4.965,-4.462,4.683,-4.195,True
2000-01,2001-02,2000-01->2001-02,1610612749,MIL,MIL,320.0,416.0,48,46,8.39,7.206,4.065,-0.706,4.245,-0.279,4.325,7.912,4.145,7.485,True
2000-01,2001-02,2000-01->2001-02,1610612750,MIN,MIN,351.0,317.0,43,39,-4.067,-8.251,1.819,3.904,1.552,3.394,-5.886,-12.154,-5.62,-11.645,True
2000-01,2001-02,2000-01->2001-02,1610612751,NJN,NJN,275.0,359.0,40,41,-12.583,-0.537,-5.14,4.493,-5.408,4.259,-7.443,-5.031,-7.174,-4.797,True
2000-01,2001-02,2000-01->2001-02,1610612752,NYK,NYK,352.0,410.0,40,54,1.705,-10.728,3.061,-3.868,2.995,-4.242,-1.357,-6.861,-1.291,-6.486,True
2000-01,2001-02,2000-01->2001-02,1610612753,ORL,ORL,398.0,275.0,49,36,-10.804,5.091,1.655,1.389,1.022,1.519,-12.459,3.702,-11.826,3.571,True
2000-01,2001-02,2000-01->2001-02,1610612755,PHI,PHI,360.0,336.0,40,46,7.334,7.148,4.455,1.551,4.581,1.791,2.879,5.597,2.752,5.357,True
2000-01,2001-02,2000-01->2001-02,1610612756,PHX,PHX,386.0,374.0,46,45,10.529,2.164,1.863,-0.894,2.286,-0.744,8.667,3.058,8.244,2.908,True
2000-01,2001-02,2000-01->2001-02,1610612757,POR,POR,289.0,351.0,44,45,9.708,11.983,3.993,2.855,4.212,3.275,5.715,9.128,5.495,8.709,True
2000-01,2001-02,2000-01->2001-02,1610612758,SAC,SAC,501.0,242.0,46,31,9.397,15.348,5.422,7.926,5.685,8.137,3.974,7.422,3.712,7.212,True
2000-01,2001-02,2000-01->2001-02,1610612759,SAS,SAS,266.0,361.0,28,43,-2.627,-4.227,8.726,7.45,8.323,6.892,-11.354,-11.678,-10.95,-11.119,True
2000-01,2001-02,2000-01->2001-02,1610612760,SEA,SEA,349.0,326.0,47,43,-3.979,-5.56,0.388,3.647,0.19,3.251,-4.367,-9.207,-4.169,-8.811,True
2000-01,2001-02,2000-01->2001-02,1610612761,TOR,TOR,343.0,385.0,44,48,4.658,2.622,2.204,-0.771,2.332,-0.595,2.454,3.393,2.326,3.218,True
2000-01,2001-02,2000-01->2001-02,1610612762,UTA,UTA,320.0,352.0,45,42,21.684,-3.693,4.499,1.161,5.225,0.936,17.185,-4.854,16.459,-4.629,True
2000-01,2001-02,2000-01->2001-02,1610612763,VAN,MEM,284.0,313.0,40,43,-4.577,-9.338,-6.039,-7.995,-5.985,-8.037,1.461,-1.344,1.407,-1.301,True
2000-01,2001-02,2000-01->2001-02,1610612764,WAS,WAS,282.0,293.0,38,41,1.418,-0.679,-7.155,-1.651,-6.833,-1.612,8.574,0.972,8.251,0.933,True
2001-02,2002-03,2001-02->2002-03,1610612737,ATL,ATL,357.0,344.0,47,40,-5.039,4.917,-4.381,-4.226,-4.41,-3.814,-0.658,9.143,-0.629,8.731,True
2001-02,2002-03,2001-02->2002-03,1610612738,BOS,BOS,449.0,380.0,51,49,17.563,2.996,1.304,-0.735,2.223,-0.553,16.259,3.73,15.34,3.549,True
2001-02,2002-03,2001-02->2002-03,1610612741,CHI,CHI,354.0,320.0,44,37,2.13,-3.125,-9.65,-5.163,-9.076,-5.08,11.781,2.038,11.206,1.955,True
2001-02,2002-03,2001-02->2002-03,1610612739,CLE,CLE,304.0,321.0,40,36,7.56,-9.468,-4.059,-9.894,-3.586,-9.865,11.619,0.426,11.147,0.397,True
2001-02,2002-03,2001-02->2002-03,1610612742,DAL,DAL,330.0,311.0,39,38,8.222,11.241,4.096,8.146,4.271,8.271,4.126,3.095,3.95,2.971,True
2001-02,2002-03,2001-02->2002-03,1610612743,DEN,DEN,340.0,230.0,41,33,-5.736,-21.366,-6.345,-8.449,-6.3,-8.866,0.609,-12.917,0.565,-12.5,True
2001-02,2002-03,2001-02->2002-03,1610612765,DET,DET,384.0,382.0,50,46,3.375,11.172,2.269,3.792,2.294,4.18,1.106,7.381,1.081,6.992,True
2001-02,2002-03,2001-02->2002-03,1610612744,GSW,GSW,294.0,336.0,39,49,-19.972,-4.917,-5.037,-1.151,-5.588,-1.314,-14.935,-3.766,-14.384,-3.603,True
2001-02,2002-03,2001-02->2002-03,1610612745,HOU,HOU,533.0,348.0,58,43,-10.056,13.488,-5.034,0.922,-5.393,1.504,-5.022,12.566,-4.664,11.984,True
2001-02,2002-03,2001-02->2002-03,1610612754,IND,IND,380.0,397.0,48,41,-1.947,-7.141,0.486,4.125,0.365,3.548,-2.433,-11.266,-2.312,-10.689,True
2001-02,2002-03,2001-02->2002-03,1610612746,LAC,LAC,344.0,403.0,41,47,-4.934,-22.458,-0.212,-2.979,-0.422,-4.012,-4.722,-19.479,-4.512,-18.446,True
2001-02,2002-03,2001-02->2002-03,1610612747,LAL,LAL,313.0,349.0,39,43,9.567,10.576,7.522,1.808,7.606,2.198,2.045,8.768,1.961,8.379,True
2001-02,2002-03,2001-02->2002-03,1610612763,MEM,MEM,313.0,400.0,43,42,-9.338,-6.662,-7.995,-3.36,-8.037,-3.527,-1.344,-3.302,-1.301,-3.134,True
2001-02,2002-03,2001-02->2002-03,1610612748,MIA,MIA,445.0,318.0,53,41,-5.897,-17.296,-1.434,-5.247,-1.702,-5.768,-4.462,-12.049,-4.195,-11.528,True
2001-02,2002-03,2001-02->2002-03,1610612749,MIL,MIL,416.0,451.0,46,50,7.206,2.235,-0.706,0.212,-0.279,0.334,7.912,2.023,7.485,1.901,True
2001-02,2002-03,2001-02->2002-03,1610612750,MIN,MIN,317.0,297.0,39,40,-8.251,14.387,3.904,1.738,3.394,2.213,-12.154,12.65,-11.645,12.174,True
2001-02,2002-03,2001-02->2002-03,1610612751,NJN,NJN,359.0,284.0,41,36,-0.537,-16.901,4.493,6.298,4.259,5.435,-5.031,-23.2,-4.797,-22.337,True
2001-02,2002-03,2001-02->2002-03,1610612752,NYK,NYK,410.0,412.0,54,58,-10.728,-6.326,-3.868,-1.035,-4.242,-1.321,-6.861,-5.291,-6.486,-5.005,True
2001-02,2002-03,2001-02->2002-03,1610612753,ORL,ORL,275.0,345.0,36,45,5.091,1.294,1.389,-0.023,1.519,0.048,3.702,1.317,3.571,1.246,True
2001-02,2002-03,2001-02->2002-03,1610612755,PHI,PHI,336.0,419.0,46,49,7.148,3.85,1.551,2.545,1.791,2.613,5.597,1.305,5.357,1.237,True
2001-02,2002-03,2001-02->2002-03,1610612756,PHX,PHX,374.0,379.0,45,52,2.164,20.844,-0.894,0.291,-0.744,1.311,3.058,20.553,2.908,19.534,True
2001-02,2002-03,2001-02->2002-03,1610612757,POR,POR,351.0,374.0,45,39,11.983,-1.012,2.855,2.911,3.275,2.709,9.128,-3.923,8.709,-3.721,True
2001-02,2002-03,2001-02->2002-03,1610612758,SAC,SAC,242.0,337.0,31,39,15.348,2.638,7.926,6.771,8.137,6.6,7.422,-4.133,7.212,-3.961,True
2001-02,2002-03,2001-02->2002-03,1610612759,SAS,SAS,361.0,338.0,43,44,-4.227,2.367,7.45,5.994,6.892,5.836,-11.678,-3.627,-11.119,-3.469,True
2001-02,2002-03,2001-02->2002-03,1610612760,SEA,SEA,326.0,382.0,43,48,-5.56,1.833,3.647,-0.301,3.251,-0.191,-9.207,2.134,-8.811,2.024,True
2001-02,2002-03,2001-02->2002-03,1610612761,TOR,TOR,385.0,340.0,48,45,2.622,-2.506,-0.771,-6.493,-0.595,-6.309,3.393,3.987,3.218,3.803,True
2001-02,2002-03,2001-02->2002-03,1610612762,UTA,UTA,352.0,302.0,42,37,-3.693,3.659,1.161,2.549,0.936,2.592,-4.854,1.11,-4.629,1.067,True
2001-02,2002-03,2001-02->2002-03,1610612764,WAS,WAS,293.0,393.0,41,51,-0.679,-1.239,-1.651,-1.072,-1.612,-1.081,0.972,-0.168,0.933,-0.158,True
2002-03,2003-04,2002-03->2003-04,1610612737,ATL,ATL,344.0,427.0,40,47,4.917,-16.768,-4.226,-4.063,-3.814,-4.772,9.143,-12.705,8.731,-11.996,True
2002-03,2003-04,2002-03->2003-04,1610612738,BOS,BOS,380.0,351.0,49,48,2.996,-3.976,-0.735,-1.432,-0.553,-1.547,3.73,-2.545,3.549,-2.429,True
2002-03,2003-04,2002-03->2003-04,1610612741,CHI,CHI,320.0,349.0,37,43,-3.125,-16.893,-5.163,-6.041,-5.08,-6.533,2.038,-10.852,1.955,-10.361,True
2002-03,2003-04,2002-03->2003-04,1610612739,CLE,CLE,321.0,363.0,36,48,-9.468,-3.992,-9.894,-2.493,-9.865,-2.552,0.426,-1.499,0.397,-1.441,True
2002-03,2003-04,2002-03->2003-04,1610612742,DAL,DAL,311.0,302.0,38,40,11.241,-14.796,8.146,5.273,8.271,4.496,3.095,-20.07,2.971,-19.292,True
2002-03,2003-04,2002-03->2003-04,1610612743,DEN,DEN,230.0,301.0,33,39,-21.366,13.725,-8.449,0.479,-8.866,0.987,-12.917,13.246,-12.5,12.738,True
2002-03,2003-04,2002-03->2003-04,1610612765,DET,DET,382.0,373.0,46,45,11.172,9.278,3.792,6.301,4.18,6.453,7.381,2.977,6.992,2.825,True
2002-03,2003-04,2002-03->2003-04,1610612744,GSW,GSW,336.0,359.0,49,43,-4.917,-11.838,-1.151,-0.544,-1.314,-1.082,-3.766,-11.294,-3.603,-10.755,True
2002-03,2003-04,2002-03->2003-04,1610612745,HOU,HOU,348.0,412.0,43,44,13.488,0.111,0.922,2.026,1.504,1.91,12.566,-1.915,11.984,-1.799,True
2002-03,2003-04,2002-03->2003-04,1610612754,IND,IND,397.0,362.0,41,43,-7.141,18.635,4.125,5.735,3.548,6.338,-11.266,12.9,-10.689,12.298,True
2002-03,2003-04,2002-03->2003-04,1610612746,LAC,LAC,403.0,313.0,47,42,-22.458,-12.533,-2.979,-4.361,-4.012,-4.694,-19.479,-8.173,-18.446,-7.839,True
2002-03,2003-04,2002-03->2003-04,1610612747,LAL,LAL,349.0,393.0,43,41,10.576,17.693,1.808,3.368,2.198,4.063,8.768,14.324,8.379,13.63,True
2002-03,2003-04,2002-03->2003-04,1610612763,MEM,MEM,400.0,377.0,42,48,-6.662,10.056,-3.36,2.235,-3.527,2.621,-3.302,7.821,-3.134,7.435,True
2002-03,2003-04,2002-03->2003-04,1610612748,MIA,MIA,318.0,320.0,41,42,-17.296,10.897,-5.247,-0.172,-5.768,0.298,-12.049,11.069,-11.528,10.599,True
2002-03,2003-04,2002-03->2003-04,1610612749,MIL,MIL,451.0,418.0,50,53,2.235,-2.864,0.212,1.335,0.334,1.106,2.023,-4.199,1.901,-3.969,True
2002-03,2003-04,2002-03->2003-04,1610612750,MIN,MIN,297.0,346.0,40,40,14.387,11.013,1.738,5.442,2.213,5.703,12.65,5.57,12.174,5.309,True
2002-03,2003-04,2002-03->2003-04,1610612751,NJN,NJN,284.0,272.0,36,33,-16.901,0.045,6.298,2.684,5.435,2.588,-23.2,-2.639,-22.337,-2.543,True
2002-03,2003-04,2002-03->2003-04,1610612740,NOH,NOH,393.0,383.0,46,48,5.875,1.828,2.16,0.045,2.353,0.135,3.714,1.783,3.521,1.693,True
2002-03,2003-04,2002-03->2003-04,1610612752,NYK,NYK,412.0,391.0,58,41,-6.326,10.916,-1.035,-2.299,-1.321,-1.627,-5.291,13.215,-5.005,12.543,True
2002-03,2003-04,2002-03->2003-04,1610612753,ORL,ORL,345.0,318.0,45,41,1.294,-2.205,-0.023,-7.658,0.048,-7.428,1.317,5.453,1.246,5.223,True
2002-03,2003-04,2002-03->2003-04,1610612755,PHI,PHI,419.0,343.0,49,43,3.85,-8.348,2.545,-2.343,2.613,-2.629,1.305,-6.005,1.237,-5.72,True
2002-03,2003-04,2002-03->2003-04,1610612756,PHX,PHX,379.0,361.0,52,48,20.844,-13.996,0.291,-3.337,1.311,-3.839,20.553,-10.659,19.534,-10.157,True
2002-03,2003-04,2002-03->2003-04,1610612757,POR,POR,374.0,417.0,39,50,-1.012,2.626,2.911,-1.721,2.709,-1.469,-3.923,4.348,-3.721,4.096,True
2002-03,2003-04,2002-03->2003-04,1610612758,SAC,SAC,337.0,369.0,39,43,2.638,8.473,6.771,5.226,6.6,5.373,-4.133,3.247,-3.961,3.1,True
2002-03,2003-04,2002-03->2003-04,1610612759,SAS,SAS,338.0,288.0,44,38,2.367,-1.736,5.994,8.322,5.836,7.932,-3.627,-10.058,-3.469,-9.668,True
2002-03,2003-04,2002-03->2003-04,1610612760,SEA,SEA,382.0,337.0,48,42,1.833,2.868,-0.301,-0.99,-0.191,-0.816,2.134,3.857,2.024,3.684,True
2002-03,2003-04,2002-03->2003-04,1610612761,TOR,TOR,340.0,440.0,45,47,-2.506,-4.447,-6.493,-3.354,-6.309,-3.415,3.987,-1.092,3.803,-1.031,True
2002-03,2003-04,2002-03->2003-04,1610612762,UTA,UTA,302.0,303.0,37,41,3.659,11.293,2.549,-1.834,2.592,-1.292,1.11,13.127,1.067,12.584,True
2002-03,2003-04,2002-03->2003-04,1610612764,WAS,WAS,393.0,321.0,51,39,-1.239,-12.553,-1.072,-5.462,-1.081,-5.761,-0.168,-7.091,-0.158,-6.791,True
2003-04,2004-05,2003-04->2004-05,1610612737,ATL,ATL,427.0,345.0,47,37,-16.768,-14.978,-4.063,-9.933,-4.772,-10.16,-12.705,-5.045,-11.996,-4.818,True
